Lugar;Abreviatura;URL
Alicante;ALI;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Andalucía;AND;https://en.wikipedia.org/wiki/Next_Andalusian_regional_election
Aragon;ARA;https://en.wikipedia.org/wiki/Next_Aragonese_regional_election
Asturias;AST;https://en.wikipedia.org/wiki/Next_Asturian_regional_election
Cantabria;CAN;https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election
Castellón;CAS;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Castilla la Mancha;CLM;https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election
Castilla y León;CYL;https://en.wikipedia.org/wiki/Next_Castilian-Leonese_regional_election
Castilla y León;CYL;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Catalunya;CAT;https://en.wikipedia.org/wiki/Next_Catalan_regional_election
Catalunya;CAT;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Ceuta;CEU;https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election
Comunidad de Madrid;MAD;https://en.wikipedia.org/wiki/Next_Madrilenian_regional_election
Comunidad de Madrid;MAD;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Comunidad Foral de Navarra;NAV;https://en.wikipedia.org/wiki/Next_Navarrese_regional_election
Comunidad Valenciana;VAL;https://en.wikipedia.org/wiki/Next_Valencian_regional_election
Comunidad Valenciana;VAL;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
España;ESP;https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election
Extremadura;EXT;https://en.wikipedia.org/wiki/Next_Extremaduran_regional_election
Galicia;GAL;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Islas Baleares;ISB;https://en.wikipedia.org/wiki/Next_Balearic_regional_election
Islas Canarias;ISC;https://en.wikipedia.org/wiki/Next_Canarian_regional_election
La Rioja;RIO;https://en.wikipedia.org/wiki/Next_Riojan_regional_election
Madrid;MAD;https://en.wikipedia.org/wiki/2023_Madrid_City_Council_election
Melilla;MEL;https://en.wikipedia.org/wiki/2023_Melilla_Assembly_election
Pontevedra;PON;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Región de Murcia;MUR;https://en.wikipedia.org/wiki/Next_Murcian_regional_election
Región de Murcia;MUR;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
Valencia;VAL;https://en.wikipedia.org/wiki/2023_Valencia_City_Council_election
Valencia;VAL;https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election
