"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACION","PSOE-A","PP","Cs","Adelante Andalucia","Vox","PACMA","AxSi","UP","VENTAJA"
"2","Invest Group/CEA","<a href= https://www.centrodeestudiosandaluces.es/barometro/cat/ultimo-barometro target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Invest Group/CEA </a>","15-25 Sep 2020","3600","51.8","26.4","30.2","11.9","4.2","13.3","","","10.8","3.8"
"3","Celeste-Tel/PSOE","<a href= https://www.diariodesevilla.es/andalucia/encuesta-Andalucia-PSOE-recupera-PP-reforzado_0_1484251831.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Celeste-Tel/PSOE </a>","26 Jun-4 Jul 2020","1000","","31.1","26.0","11.2","","10.9","","","16.6","5.1"
"4","Invest Group/CEA","<a href= https://centrodeestudiosandaluces.es/barometro/barometro-andaluz-2 target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Invest Group/CEA </a>","18 Jun-1 Jul 2020","3600","58.0","30.4","30.8","11.2","4.0","10.1","","","9.4","0.4"
"5","SW Demoscopia/Grupo Viva","<a href= https://www.larazon.es/andalucia/20200221/nxlivo7i6rb3jd5sfsjrxfmdtq.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration:underline> SW Demoscopia/Grupo Viva </a>","8-15 May 2020","1000","","25.1","26.8","13.1","","14.7","","","15.8","1.7"
"6","ElectoPanel/Electomania","<a href= https://electomania.es/ep-17my-andalucia/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> ElectoPanel/Electomania </a>","1 Apr-15 May 2020","","","28.0","33.1","10.3","4.7","9.7","","","8.4","5.1"
"7","ElectoPanel/Electomania","<a href= https://electomania.es/andp28f/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> ElectoPanel/Electomania </a>","23-27 Feb 2020","1100","","25.5","24.7","8.1","4.0","19.7","","0.6","14.4","0.8"
"8","GAD3/ABC","<a href= https://sevilla.abc.es/andalucia/sevi-encuesta-28-f-pp-y-ciudadanos-consolidan-ventaja-como-mayoria-gobierno-andalucia-202002272301_noticia.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> GAD3/ABC </a>","17-21 Feb 2020","802","","28.6","26.5","9.3","15.8","14.7","","","","2.1"
"9","SW Demoscopia/Grupo Viva","<a href= https://andaluciainformacion.es/andalucia/880884/pp-y-cs-seguirian-al-frente-de-la-junta-con-el-apoyo-de-vox/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> SW Demoscopia/Grupo Viva </a>","5-18 Feb 2020","1310","","25.7","26.4","9.6","17.1","15.4","","","","0.7"
"10","Celeste-Tel/PSOE","<a href= https://www.larazon.es/andalucia/20200221/nxlivo7i6rb3jd5sfsjrxfmdtq.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Celeste-Tel/PSOE </a>","20-30 Jan 2020","2600","61.1","31.6","25.1","12.2","17.0","10.7","","","","6.5"
"11","ElectoPanel/Electomania","<a href= https://electomania.es/andap10e/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> ElectoPanel/Electomania </a>","9 Jan 2020","","","24.8","24.0","7.3","17.9","21.0","","0.6","","0.8"
"12","Nexo/CEA","<a href= https://centrodeestudiosandaluces.es/barometro/barometro-andaluz-1 target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Nexo/CEA </a>","25 Nov-12 Dec 2019","2627","57.0","27.8","24.5","10.5","15.6","16.2","1.4","","","3.3"
"14","Celeste-Tel/PSOE","<a href= https://www.eldiario.es/andalucia/andaluces-desaprueba-Gobierno-alcanzado-derechas_0_925657631.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Celeste-Tel/PSOE </a>","15-25 Jul 2019","2600","60.8","33.6","24.6","14.0","16.1","8.2","","","","9.0"
"15","Ase-Psike/CEA","<a href= https://centrodeestudiosandaluces.es/barometro/barometro-andaluz target=""_blank"" rel=""noreferrer nofollow"" style="" color:#000000"" text-decoration: underline> Ase-Psike/CEA </a>","10-26 Jun 2019","2567","60.2","30.5","24.8","17.8","14.0","8.1","1.2","","","5.7"
